service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1762129,0,0,0,0,0,0,0,20150419,20151011
11762130,0,0,0,0,0,0,0,20150720,20150824
1762128,0,0,0,0,0,0,0,20150501,20150524
11762131,0,0,0,0,0,0,0,20150716,20150821
11539794,0,0,0,0,0,0,0,20150622,20150622
1762130,0,0,0,0,0,0,0,20150719,20150823
11762136,0,0,0,0,0,0,0,20150719,20150823
11762139,0,0,0,0,0,0,0,20150425,20150829
1762131,0,0,0,0,0,0,0,20150715,20150820
1762132,0,0,0,0,0,0,0,20150416,20151014
1762133,0,0,0,0,0,0,0,20150803,20150813
11762133,0,0,0,0,0,0,0,20150804,20150814
11762132,0,0,0,0,0,0,0,20150417,20151015
1762134,0,0,0,0,0,0,0,20150420,20150831
1539794,0,0,0,0,0,0,0,20150621,20150621
1762135,0,0,0,0,0,0,0,20150418,20151010
11762135,0,0,0,0,0,0,0,20150419,20151011
1762136,0,0,0,0,0,0,0,20150718,20150822
11762134,0,0,0,0,0,0,0,20150421,20150901
11762141,0,0,0,0,0,0,0,20150418,20151010
11762142,0,0,0,0,0,0,0,20150516,20150815
11762140,0,0,0,0,0,0,0,20150718,20150822
1762139,0,0,0,0,0,0,0,20150424,20150828
1762142,0,0,0,0,0,0,0,20150515,20150814
1762141,0,0,0,0,0,0,0,20150417,20151009
1762140,0,0,0,0,0,0,0,20150717,20150821
11762129,0,0,0,0,0,0,0,20150420,20151012
11762128,0,0,0,0,0,0,0,20150502,20150525
