from_stop_id,to_stop_id,transfer_type,min_transfer_time
3343778,4996987,2,197
3343778,4996988,2,225
3343778,4996989,2,198
3343335,4473424,2,191
3343796,4036201,2,233
3343765,3716875,2,279
3343777,4996989,2,198
3343334,4473349,2,191
3343777,967989,2,180
3343777,4996987,2,197
3343777,4996988,2,225
3343766,3811284,2,201
3343807,4035969,2,188
3343335,4037018,2,194
3343753,4726721,2,302
3343771,3764580,2,267
3343786,4726948,2,195
3343780,4726953,2,240
3343786,4726949,2,209
3343761,3687105,2,282
3343766,4739208,2,209
3343334,4473356,2,221
3343334,4473355,2,194
3343807,4035970,2,189
3343808,4739150,2,188
3343765,1166838,2,180
3343767,2224140,2,233
3343765,1166839,2,180
3343767,2224141,2,233
3343767,3764801,2,228
3343767,3764802,2,216
3343803,4439496,2,240
3343767,3764800,2,207
3343763,1980,2,180
3343767,3764803,2,233
3343767,2102,2,180
3343769,3764503,2,199
3343763,1982,2,180
4246858,3343803,2,240
3343766,3716943,2,209
4246858,3343804,2,240
3343808,3716908,2,189
3343762,2293,2,180
3343781,4044991,2,252
3343335,4473039,2,194
3343763,3716877,2,209
3343808,3686300,2,189
3343805,4035973,2,312
3343762,4037288,2,217
3343805,4035972,2,218
3343777,5289091,2,225
3343803,4035975,2,198
3343777,5289092,2,269
3343803,4035976,2,240
3343760,3687106,2,217
4246836,3343805,2,207
4246836,3343806,2,207
3343791,1698,2,180
3343772,4036654,2,253
3343808,3716910,2,188
3343334,3811274,2,191
3343334,3811275,2,251
3343764,2172,2,180
3343764,2170,2,180
3343775,3807568,2,194
3343775,3807569,2,194
3343776,2487,2,180
3343789,3748090,2,207
3343776,2488,2,180
3343776,4036865,2,246
3343764,3765442,2,209
3343764,3765441,2,209
3343789,3748089,2,280
3343334,4037018,2,194
3343756,2241,2,180
3343805,4035994,2,240
3343816,3686993,2,207
3343795,3765294,2,207
3343816,3686994,2,237
4246860,3343805,2,207
3343772,4726960,2,198
4246860,3343806,2,207
3343785,2063,2,180
3343785,2062,2,180
3343778,1647,2,180
3343785,3687123,2,241
3343778,4726932,2,212
3343776,4037046,2,270
3343786,4025393,2,195
4036303,3343777,2,212
3343755,1916,2,180
3343786,4025394,2,191
4036303,3343778,2,212
3343781,4997016,2,252
3343801,3813540,2,214
3343801,3813541,2,235
3343782,4726934,2,252
3343811,3619808,2,205
4723810,3343804,2,240
3343811,3619809,2,209
4723810,3343803,2,240
3343335,4473283,2,194
3343807,3663639,2,189
3343796,4036210,2,189
3686714,3343806,2,209
3343767,3811286,2,229
3343335,4473284,2,221
3686714,3343805,2,209
3343795,3765270,2,227
3343789,3748062,2,199
3343789,3748063,2,274
3343800,4036212,2,208
3343791,3926293,2,197
3343778,4726955,2,197
3343778,4726956,2,185
3343791,3926292,2,215
3343807,3663640,2,189
3343815,4037512,2,203
3343768,4036755,2,236
3343768,4036756,2,249
3343806,4439498,2,221
3343768,4036753,2,256
3343768,4036754,2,234
3343772,2457,2,180
3343768,4036752,2,249
3343788,3687254,2,217
3343767,4036658,2,256
3343767,4036657,2,236
3343786,4997021,2,241
3343786,4997020,2,197
3343777,2376,2,180
3343762,1897,2,180
3343777,2377,2,180
3343339,3893525,2,204
3343799,4036199,2,234
3343339,3893524,2,194
3343768,3764799,2,256
3343768,3764798,2,249
3343767,5138168,2,216
3343767,5138167,2,261
3343786,3687123,2,241
3343759,3687106,2,217
3343767,5138169,2,233
3343784,3747871,2,214
3343768,4008835,2,209
3343777,4037268,2,225
3343762,4023035,2,266
3343762,4023034,2,228
3343805,4439433,2,312
3343788,3687256,2,194
3343805,4439432,2,202
3343788,3687255,2,180
3343762,4025408,2,239
3343792,3926293,2,197
3343792,3926292,2,215
3343792,3747937,2,221
3343792,3747936,2,197
3343825,4037564,2,197
3343817,3619772,2,257
3343817,3619771,2,295
3343817,3619770,2,200
3343773,2001,2,180
3343767,2313,2,180
3343807,4739150,2,188
3343767,2314,2,180
3343778,5289167,2,212
3343769,4016475,2,199
3343807,3663669,2,189
3343787,5231609,2,223
3343786,4037265,2,209
3343786,2062,2,180
3343786,4037264,2,195
3343786,2063,2,180
3343812,3619808,2,205
3343805,4439455,2,312
3343812,3619809,2,209
3343786,3748094,2,220
3343786,3748093,2,205
3343817,3619377,2,204
3343805,4439454,2,202
3343755,2537,2,180
3343764,4739207,2,209
3343777,4997014,2,221
3343767,4726922,2,249
3343767,4726921,2,236
3343815,4037557,2,241
3343806,4439455,2,312
3343806,4439454,2,202
3343814,3619864,2,277
3343767,4459242,2,249
3343777,3748028,2,225
3343819,4037506,2,300
3343768,4008890,2,249
3343767,4459244,2,249
3343767,4459243,2,234
3343805,4739153,2,202
3343767,3926208,2,233
3343815,4378322,2,203
3343766,3811234,2,205
3343815,4378323,2,241
3343814,3619865,2,248
3343767,3926209,2,216
3343768,4008204,2,228
3343779,4726953,2,240
3343770,4036826,2,282
3343786,4037243,2,241
3343762,4045017,2,239
3343785,4997021,2,241
4472872,3343777,2,212
3343785,4997020,2,197
4472872,3343778,2,212
3343770,4036825,2,196
3343767,4726919,2,256
3343767,4726918,2,249
3343788,3687299,2,209
3343764,4009638,2,209
3343767,4008890,2,249
3343758,4726755,2,235
3343767,3926211,2,207
3343767,3926210,2,209
3343767,3926213,2,249
3343785,3813079,2,241
3343767,3926212,2,256
3343767,4726920,2,234
3343808,3663714,2,189
3343785,3813078,2,264
3343785,3813077,2,287
3343764,4009637,2,209
3343769,1702,2,180
3343785,4726948,2,195
3343817,3619730,2,204
3343785,4726949,2,209
3343812,4035959,2,209
3343817,3619739,2,200
4723806,3343801,2,264
3343770,4016475,2,199
4723806,3343802,2,264
3343786,4726939,2,241
3343786,4726938,2,197
3343771,3764552,2,267
3343762,4022947,2,228
3343762,4022948,2,237
3343768,1846,2,180
3343762,4022949,2,266
3343768,1847,2,180
3343771,1712,2,180
3343808,3686540,2,189
3343756,1916,2,180
3343785,4726938,2,197
3343785,4726939,2,241
4036290,3343778,2,225
4036290,3343777,2,225
4246856,3343802,2,264
3343334,5018492,2,191
4246856,3343801,2,264
3343763,4739207,2,209
3343334,5018491,2,221
3343812,4035960,2,205
3343808,3716950,2,188
3343807,3686539,2,200
3343785,3687300,2,205
3343805,4439498,2,221
3343807,3686540,2,189
3343808,3686539,2,200
3343799,3813542,2,261
3343825,4037506,2,300
3343799,3813543,2,213
3343778,3926396,2,225
3343778,3926395,2,269
3343778,3926397,2,225
3343807,3716950,2,188
3343825,3620258,2,197
3343825,3620259,2,300
3343770,3749776,2,213
3343808,3663565,2,189
3343807,3686300,2,189
3343788,3673591,2,180
3343784,4726951,2,196
3343768,3926210,2,209
3343768,3926211,2,207
3343768,3926212,2,256
3343768,3926213,2,249
3343818,3619898,2,204
3343784,4044992,2,200
3343777,1647,2,180
3343767,3747815,2,234
3343767,3747816,2,228
3343767,3747817,2,249
3343767,3747818,2,233
3343767,3747813,2,249
3343767,3747814,2,256
3343778,4037268,2,225
3343785,4025394,2,191
3343785,4025393,2,195
3343776,1678,2,180
3343335,5074005,2,191
3343776,1677,2,180
3343335,5074004,2,221
3343760,3764724,2,266
3343760,3764726,2,230
3343760,3764725,2,214
3343785,4996981,2,209
3343774,4726959,2,198
3343761,3765221,2,217
3343785,4996980,2,195
3343766,1166838,2,180
3343761,3765220,2,239
3343766,1166839,2,180
3343767,3765192,2,249
3343778,2527,2,180
3343334,3807601,2,194
3343809,4037550,2,230
3343784,4726936,2,200
3343770,3764503,2,199
3343807,3781668,2,188
3343807,3781667,2,189
3343776,3764648,2,270
3343785,4037243,2,241
3343772,3807571,2,198
4117982,3343806,2,209
3343777,4044990,2,198
4117982,3343805,2,209
3343809,4037549,2,307
3343775,4036932,2,270
3343786,3764984,2,216
3343771,4016276,2,267
3343763,4008208,2,222
3343810,3619913,2,234
3343786,3764983,2,195
3343810,3619914,2,230
3343818,3619878,2,200
3343799,4036212,2,208
3343770,4016319,2,199
4117984,3343806,2,207
4117984,3343805,2,207
3343776,3764656,2,246
3343816,4037557,2,241
3343779,4037267,2,240
3343768,3893340,2,256
3343795,2094,2,180
3343766,4009639,2,209
3343768,3893341,2,207
3343816,4378323,2,241
3343816,4378322,2,203
3343808,3663594,2,189
3343806,4439432,2,202
3343806,4439433,2,312
3343766,4009640,2,279
3343819,3620259,2,300
3343769,3807572,2,213
3343805,3716953,2,202
3343819,3620258,2,197
3343791,4037177,2,215
3343791,4037178,2,197
3343768,3893339,2,249
3343778,2376,2,180
3343818,3619377,2,204
3343767,1847,2,180
3343767,1846,2,180
3343761,4037288,2,217
3343799,3747949,2,234
3343791,2443,2,180
3343771,4016495,2,253
4723774,3343806,2,207
4723774,3343805,2,207
3343810,3619943,2,234
3343810,3619944,2,230
3343774,2190,2,180
3343785,4037264,2,195
3343785,4037265,2,209
3343786,4996981,2,209
3343764,4037793,2,209
3343786,4996980,2,195
3343777,2527,2,180
3343760,3764774,2,230
3343760,3764775,2,266
3343767,3765148,2,209
3343798,3747946,2,205
3343767,3765147,2,274
3343773,2190,2,180
3343798,3747947,2,200
3343776,4726958,2,194
3343775,4036981,2,246
3343776,4726957,2,281
3343337,3811271,2,270
3343337,3811270,2,263
3343784,4996983,2,196
3343800,3747949,2,234
3343801,3813098,2,275
4723766,3343802,2,264
3343792,2443,2,180
3343795,4036201,2,233
4723766,3343801,2,264
3343767,4008204,2,228
3343797,4036211,2,205
3343758,3813126,2,212
3343758,3813127,2,235
3343819,3619718,2,283
3343819,3619717,2,298
3343335,3811275,2,251
3343805,3716907,2,227
3343335,3811274,2,191
3343807,3686374,2,197
3343807,3686375,2,189
3343761,4022947,2,228
3343761,4022949,2,266
3343761,4022948,2,237
3343776,3764611,2,246
3343816,4037512,2,203
3343785,3748094,2,220
3343785,3748093,2,205
3343764,3811236,2,198
3343764,3811237,2,209
3343825,3619718,2,283
3343797,4036200,2,200
3343825,3619717,2,298
3343805,3716913,2,202
3343778,2377,2,180
3343767,4008835,2,209
3343795,4036210,2,189
3343771,4726960,2,198
3343772,4016439,2,253
3343797,3747947,2,200
3343797,3747946,2,205
3343779,3687441,2,266
3343779,4996985,2,240
3343763,4008422,2,198
4246835,3343806,2,209
