service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025587,0,0,0,0,0,0,0,20161003,20161226
12025586,0,0,0,0,0,0,0,20160808,20160926
2025589,0,0,0,0,0,0,0,20161111,20161111
2025588,0,0,0,0,0,0,0,20160814,20160814
12025589,0,0,0,0,0,0,0,20161112,20161112
2025587,0,0,0,0,0,0,0,20161002,20161225
12025588,0,0,0,0,0,0,0,20160815,20160815
2025592,0,0,0,0,0,0,0,20161003,20161215
2025593,0,0,0,0,0,0,0,20160901,20161222
2025590,0,0,0,0,0,0,0,20160829,20161229
2025591,0,0,0,0,0,0,0,20160802,20160825
2025596,0,0,0,0,0,0,0,20161007,20161216
2025597,0,0,0,0,0,0,0,20160805,20160826
2025594,0,0,0,0,0,0,0,20160806,20160924
2025595,0,0,0,0,0,0,0,20161001,20161231
12025599,0,0,0,0,0,0,0,20161101,20161231
12025598,0,0,0,0,0,0,0,20160903,20161224
12025597,0,0,0,0,0,0,0,20160806,20160827
12025596,0,0,0,0,0,0,0,20161008,20161217
2025599,0,0,0,0,0,0,0,20161031,20161230
2025598,0,0,0,0,0,0,0,20160902,20161223
12025595,0,0,0,0,0,0,0,20161002,20170101
12025594,0,0,0,0,0,0,0,20160807,20160925
12025593,0,0,0,0,0,0,0,20160902,20161223
12025591,0,0,0,0,0,0,0,20160803,20160826
12025592,0,0,0,0,0,0,0,20161004,20161216
12025590,0,0,0,0,0,0,0,20160830,20161230
2025586,0,0,0,0,0,0,0,20160807,20160925
