service_id,date,exception_type
12025587,20161003,1
12025587,20161010,1
12025587,20161017,1
12025587,20161024,1
12025587,20161031,1
12025587,20161102,1
12025587,20161107,1
12025587,20161114,1
12025587,20161121,1
12025587,20161128,1
12025587,20161205,1
12025587,20161212,1
12025587,20161219,1
12025587,20161226,1
12025586,20160808,1
12025586,20160816,1
12025586,20160822,1
12025586,20160829,1
12025586,20160905,1
12025586,20160912,1
12025586,20160919,1
12025586,20160926,1
2025589,20161111,1
2025588,20160814,1
12025589,20161112,1
2025587,20161002,1
2025587,20161009,1
2025587,20161016,1
2025587,20161023,1
2025587,20161030,1
2025587,20161101,1
2025587,20161106,1
2025587,20161113,1
2025587,20161120,1
2025587,20161127,1
2025587,20161204,1
2025587,20161211,1
2025587,20161218,1
2025587,20161225,1
12025588,20160815,1
2025592,20161003,1
2025592,20161004,1
2025592,20161005,1
2025592,20161006,1
2025592,20161010,1
2025592,20161011,1
2025592,20161012,1
2025592,20161013,1
2025592,20161017,1
2025592,20161018,1
2025592,20161019,1
2025592,20161103,1
2025592,20161107,1
2025592,20161108,1
2025592,20161109,1
2025592,20161114,1
2025592,20161115,1
2025592,20161116,1
2025592,20161117,1
2025592,20161121,1
2025592,20161122,1
2025592,20161123,1
2025592,20161124,1
2025592,20161128,1
2025592,20161129,1
2025592,20161130,1
2025592,20161201,1
2025592,20161205,1
2025592,20161206,1
2025592,20161207,1
2025592,20161208,1
2025592,20161212,1
2025592,20161213,1
2025592,20161214,1
2025592,20161215,1
2025593,20160901,1
2025593,20160905,1
2025593,20160906,1
2025593,20160907,1
2025593,20160908,1
2025593,20160912,1
2025593,20160913,1
2025593,20160914,1
2025593,20160915,1
2025593,20160919,1
2025593,20160920,1
2025593,20160921,1
2025593,20160922,1
2025593,20160926,1
2025593,20160927,1
2025593,20160928,1
2025593,20160929,1
2025593,20161020,1
2025593,20161024,1
2025593,20161025,1
2025593,20161026,1
2025593,20161027,1
2025593,20161102,1
2025593,20161219,1
2025593,20161220,1
2025593,20161221,1
2025593,20161222,1
2025590,20160829,1
2025590,20160830,1
2025590,20160831,1
2025590,20161226,1
2025590,20161227,1
2025590,20161228,1
2025590,20161229,1
2025591,20160802,1
2025591,20160803,1
2025591,20160804,1
2025591,20160808,1
2025591,20160809,1
2025591,20160810,1
2025591,20160811,1
2025591,20160816,1
2025591,20160817,1
2025591,20160818,1
2025591,20160822,1
2025591,20160823,1
2025591,20160824,1
2025591,20160825,1
2025596,20161007,1
2025596,20161014,1
2025596,20161104,1
2025596,20161110,1
2025596,20161118,1
2025596,20161125,1
2025596,20161202,1
2025596,20161209,1
2025596,20161216,1
2025597,20160805,1
2025597,20160812,1
2025597,20160819,1
2025597,20160826,1
2025594,20160806,1
2025594,20160813,1
2025594,20160820,1
2025594,20160827,1
2025594,20160903,1
2025594,20160910,1
2025594,20160917,1
2025594,20160924,1
2025595,20161001,1
2025595,20161008,1
2025595,20161015,1
2025595,20161022,1
2025595,20161029,1
2025595,20161105,1
2025595,20161112,1
2025595,20161119,1
2025595,20161126,1
2025595,20161203,1
2025595,20161210,1
2025595,20161217,1
2025595,20161224,1
2025595,20161231,1
12025599,20161101,1
12025599,20161231,1
12025598,20160903,1
12025598,20160910,1
12025598,20160917,1
12025598,20160924,1
12025598,20161001,1
12025598,20161022,1
12025598,20161029,1
12025598,20161224,1
12025597,20160806,1
12025597,20160813,1
12025597,20160820,1
12025597,20160827,1
12025596,20161008,1
12025596,20161015,1
12025596,20161105,1
12025596,20161111,1
12025596,20161119,1
12025596,20161126,1
12025596,20161203,1
12025596,20161210,1
12025596,20161217,1
2025599,20161031,1
2025599,20161230,1
2025598,20160902,1
2025598,20160909,1
2025598,20160916,1
2025598,20160923,1
2025598,20160930,1
