from_stop_id,to_stop_id,transfer_type,min_transfer_time
5018190,2286,2,270
4008240,1917,2,192
3442582,1884,2,216
4008889,1890,2,198
4023038,1946,2,234
3748025,2311,2,232
3765229,2291,2,250
5289091,2527,2,225
3765448,1715,2,249
4036619,2183,2,268
4036824,1712,2,253
5121341,2280,2,213
4997014,1647,2,221
4009220,2549,2,319
3813203,1747,2,207
4037173,1651,2,210
3813134,2043,2,263
1835,1651,2,178
1843,2311,2,103
4037172,2531,2,225
4146116,2531,2,217
4008308,1814,2,231
4472872,2527,2,212
3893405,1730,2,253
5018189,2286,2,210
3765149,1972,2,230
3748016,1651,2,217
4022892,1946,2,234
5121003,1804,2,225
3740518,2460,2,198
3893543,2261,2,285
4008884,2295,2,234
1817,1816,2,63
3343774,2190,2,180
3765229,1895,2,250
4037212,2201,2,267
3740519,2460,2,206
3343777,2527,2,180
3343773,2190,2,180
3813312,1745,2,208
3926283,2014,2,229
4037210,2201,2,240
3893540,2425,2,187
3672237,2531,2,256
3687588,1993,2,191
3926280,1882,2,213
4008839,2460,2,206
2449,3689155,2,255
4834508,1804,2,195
5289130,1804,2,222
4024983,2343,2,301
4037772,1946,2,274
3764552,1712,2,267
3748018,2531,2,267
3749911,1819,2,227
4015761,1884,2,302
4009219,2343,2,207
3748021,2151,2,275
1722,2460,2,480
3687071,1633,2,246
5121340,2088,2,243
5121669,1804,2,227
1704,3689033,2,261
4726916,2286,2,198
4024391,2343,2,224
3747991,1709,2,196
3685919,1993,2,185
3747989,2151,2,282
3764737,2460,2,198
3765448,2460,2,249
4008372,2353,2,231
4037210,1946,2,240
4354419,2278,2,207
4022956,1819,2,212
5289124,1747,2,211
3740521,2441,2,301
4364000,2269,2,178
4364001,2269,2,192
5121003,2343,2,225
3807570,2190,2,198
4009641,1890,2,241
4009672,1715,2,206
3748067,1651,2,199
1833,2531,2,149
1651,2371,2,166
5289131,2549,2,243
5121607,2343,2,227
4036291,1647,2,269
3747993,2531,2,188
3765287,1882,2,207
2376,1647,2,130
3764656,1678,2,246
3813313,2423,2,192
5121343,1884,2,302
3765228,2043,2,263
4025414,2162,2,276
4022893,2201,2,240
3740322,1637,2,252
3672236,2531,2,225
4037174,2531,2,186
5121561,2425,2,204
5121378,2425,2,211
4037771,2201,2,267
4726958,2488,2,194
4008877,1747,2,218
4009186,1884,2,188
3807569,1678,2,194
4008428,2162,2,245
3672109,1745,2,213
3749912,2358,2,244
4008239,1917,2,245
5121379,2088,2,221
4036290,2527,2,225
3813000,2291,2,239
3893539,2425,2,187
3813166,2425,2,189
4008215,1730,2,224
4024393,2088,2,321
3747811,2286,2,198
3672109,2423,2,213
4199334,2183,2,291
4036303,2527,2,212
4008246,2353,2,263
3764769,1730,2,301
4472867,2527,2,225
2339,1651,2,200
4009643,2460,2,192
3740523,2201,2,267
3687683,2183,2,268
3765287,2278,2,207
3747986,2459,2,194
5289123,1747,2,187
3764741,2441,2,301
4008885,1762,2,213
4036617,1873,2,156
4726960,2457,2,198
5018395,1678,2,246
4009644,2460,2,206
4996988,1647,2,225
3926279,1745,2,211
4834508,2343,2,195
3764767,1715,2,198
3687588,2183,2,191
4008239,2242,2,245
5231606,1633,2,211
4726962,1702,2,282
3740519,1715,2,206
3748086,1651,2,190
4023042,1730,2,241
3926397,1647,2,225
4492570,2269,2,192
3681810,1884,2,225
3687587,1993,2,313
4008457,2425,2,198
5073970,1804,2,230
5289128,2088,2,221
3673596,2513,2,211
4036825,2447,2,196
1889,1890,2,59
4025416,2201,2,234
4036656,2447,2,282
4008378,1917,2,192
2226,1972,2,119
3926258,2423,2,196
3749774,2190,2,198
3672105,1651,2,256
5289133,1884,2,302
3747985,1844,2,235
5289131,2088,2,243
4459282,2269,2,134
5231606,2513,2,211
3813154,2043,2,249
3687442,2311,2,225
3811246,2043,2,216
4037771,1946,2,267
4016531,2447,2,199
5121348,2425,2,187
3765149,2227,2,230
3673596,1633,2,211
5121561,1747,2,204
5289092,1647,2,269
3765240,2453,2,211
2377,2527,2,117
4008377,2440,2,213
4008296,2453,2,267
4473118,2286,2,270
3681809,1884,2,226
1835,2531,2,149
3893546,1814,2,231
4036654,2457,2,253
4008307,1814,2,263
4008202,2227,2,267
4025418,2201,2,274
3690071,2014,2,247
3689893,1873,2,146
3749693,2460,2,206
2467,1715,2,480
3343772,1712,2,180
3749938,1819,2,225
5231618,1633,2,246
4008429,2162,2,243
3747812,1890,2,186
5121339,2343,2,222
3893542,1747,2,233
2377,1647,2,130
4036654,1712,2,253
4008213,1819,2,212
3765151,2286,2,270
4008875,2425,2,187
5121378,1747,2,211
4199336,2183,2,268
3689892,1873,2,241
3926215,2286,2,198
3926281,2278,2,207
4199333,2183,2,271
3926214,2286,2,186
3813313,1745,2,192
4008214,2441,2,241
5121020,1804,2,205
3687630,1873,2,156
3764769,2441,2,301
3687683,1993,2,268
4473340,1804,2,230
3749914,2460,2,198
3926215,1890,2,198
3740321,2517,2,267
4015763,2280,2,216
3442581,1884,2,240
4354164,2278,2,207
4037046,1678,2,270
5079461,1804,2,227
3749904,2162,2,276
4459241,2286,2,198
3764740,2358,2,225
5121342,1884,2,200
2469,2460,2,480
4726917,2286,2,186
4016276,1712,2,267
3765240,1708,2,211
3749905,2162,2,216
2467,2460,2,480
5121668,2343,2,227
4015757,2425,2,211
4025417,1946,2,240
3687684,1993,2,293
3764741,1730,2,301
3893545,1816,2,234
3764768,1819,2,225
4472543,2517,2,252
2226,2227,2,86
4008877,2425,2,218
1715,4473188,2,206
4009665,1890,2,254
1946,2200,2,180
4008308,2353,2,231
3740321,1637,2,267
4008380,1708,2,260
4473114,2460,2,206
2487,2488,2,90
4037268,2527,2,225
4008919,2343,2,203
3740523,1946,2,267
4022958,1730,2,253
3765277,1882,2,203
4037285,2358,2,212
2338,1651,2,138
3748026,2311,2,198
3740516,1890,2,270
3748020,2151,2,204
4036750,1890,2,198
5289126,1884,2,297
4008856,2517,2,252
3681850,1884,2,225
4008918,1804,2,205
5121344,2280,2,297
5079476,2343,2,227
3747929,1633,2,207
4726957,2488,2,281
4009641,2286,2,241
4008834,2227,2,222
3748018,1651,2,267
5289126,2280,2,297
3442581,2280,2,240
4008240,2242,2,192
4037774,2201,2,234
3807569,2488,2,194
4199339,1873,2,180
4008380,2453,2,260
4036751,2286,2,186
3689892,2269,2,241
2302,2531,2,171
4008377,1762,2,213
5289132,2280,2,213
3672169,2531,2,225
5231591,2183,2,313
2354,2353,2,71
4008875,1747,2,187
3689893,2269,2,146
3687678,2269,2,129
3747812,2286,2,186
2497,2517,2,81
5289091,1647,2,225
4726956,1647,2,185
4199335,1993,2,293
3926258,1745,2,196
3764796,2286,2,198
3748019,1709,2,198
1724,1715,2,480
3748016,2531,2,217
5231590,2183,2,268
3893539,1747,2,187
4037773,1946,2,240
3893544,1936,2,235
5121010,1804,2,225
4008918,2343,2,205
5121859,2343,2,227
4996989,1647,2,198
3687593,2269,2,178
4008300,2242,2,245
3893406,1730,2,241
4009665,2286,2,254
3343770,1702,2,180
3748026,1844,2,198
2487,1678,2,119
4008473,2425,2,211
3765234,2517,2,188
3764797,2286,2,186
5121341,1884,2,213
3740557,1819,2,227
5121606,1804,2,227
3893546,2353,2,231
5289123,2425,2,187
5018458,2343,2,230
3893545,2355,2,234
3749908,2201,2,189
4473414,1804,2,230
3926289,2531,2,186
4037209,2201,2,234
4199334,1993,2,291
3747992,1651,2,268
2338,2531,2,122
5289132,1884,2,213
4008317,2440,2,213
3764580,2457,2,267
4354171,1651,2,217
4834559,2343,2,227
3811230,1972,2,195
3748028,2527,2,225
4354473,2531,2,199
4008296,1708,2,267
4726917,1890,2,186
4036825,1702,2,196
3748067,2531,2,199
4036659,1890,2,186
3747981,1647,2,221
5289124,2425,2,211
4008886,1917,2,192
4146113,1745,2,219
5289130,2343,2,222
3747994,2531,2,199
3926278,2423,2,220
3765191,2286,2,198
3747990,2032,2,203
4037773,2201,2,240
3811243,2201,2,194
3748021,2032,2,275
3343775,2488,2,180
4008301,2242,2,192
3893471,2201,2,234
3926287,1651,2,225
3343771,2457,2,180
4044990,2527,2,198
2497,1637,2,96
3672265,1745,2,213
3747984,1844,2,229
4473114,1715,2,206
3748084,1651,2,217
3749785,1712,2,253
3343770,2447,2,180
5018334,1678,2,246
4009185,1884,2,216
4025416,1946,2,234
4364000,1873,2,178
3764552,2457,2,267
3813203,2425,2,207
4008213,2358,2,212
5121344,1884,2,297
3926281,1882,2,207
4472687,1715,2,206
3747811,1890,2,198
3764734,1819,2,227
3747984,2311,2,229
3687071,2513,2,246
4045021,2460,2,206
3764611,2488,2,246
3807630,1678,2,270
3765247,2162,2,249
5231588,1873,2,156
3749785,2457,2,253
4726751,2162,2,249
4036656,1702,2,282
4996987,1647,2,197
3813165,1747,2,232
3764797,1890,2,186
3764767,2460,2,198
4354171,2531,2,217
967989,2527,2,180
4024393,2549,2,321
3687262,2151,2,187
4009379,2343,2,416
3811242,1946,2,200
3748022,1633,2,218
4036865,1678,2,246
5121859,1804,2,227
3740557,2358,2,227
4726955,1647,2,197
3926282,2133,2,192
3672265,2423,2,213
3807572,2447,2,213
1834,2531,2,200
4354473,1651,2,199
3687261,2151,2,194
4008247,2353,2,231
3687680,2269,2,156
1722,1715,2,480
3926397,2527,2,225
3687587,2183,2,313
3813134,2162,2,263
3765239,1708,2,225
4015756,2425,2,211
4037172,1651,2,225
5121379,2549,2,221
3343775,1678,2,180
4472867,1647,2,225
4996987,2527,2,197
3747986,1714,2,194
4037171,1651,2,217
3343769,2447,2,180
4008203,1972,2,278
3926395,1647,2,269
5121340,2549,2,243
3672105,2531,2,256
3747994,1651,2,199
4037211,1946,2,274
3893406,2441,2,241
3749912,1819,2,244
2102,1890,2,250
4024390,2343,2,224
4036751,1890,2,186
3749911,2358,2,227
3811231,1972,2,216
5079476,1804,2,227
4036827,1890,2,270
1704,3689155,2,255
4472544,1637,2,242
4354164,1882,2,207
5121808,1804,2,204
3343774,2001,2,180
4726932,1647,2,212
1971,1972,2,133
5079489,2343,2,227
4009644,1715,2,206
4024392,2549,2,319
4022958,2441,2,253
3811243,1946,2,194
4036620,1993,2,313
3748084,2531,2,217
5121669,2343,2,227
4009186,2280,2,188
4015756,1747,2,211
3748019,2454,2,198
3926277,2423,2,207
3681809,2280,2,226
4025418,1946,2,274
4025417,2201,2,240
3747989,2032,2,282
2310,1844,2,106
3926280,2278,2,213
3685920,1993,2,213
3747929,2513,2,207
3716874,2286,2,254
3893474,1819,2,212
3893405,2441,2,253
3740527,2291,2,233
4726961,1702,2,196
3764771,1946,2,209
4726958,1678,2,194
4739209,2286,2,241
4045020,2358,2,244
3747988,1633,2,222
4008886,2242,2,192
4008277,2440,2,213
3764656,2488,2,246
5018189,1890,2,210
3893337,1890,2,198
4024980,2343,2,241
3749693,1715,2,206
3748017,2531,2,225
1971,2227,2,99
5231633,2183,2,293
5073970,2343,2,230
3765235,1637,2,208
3807570,2001,2,198
3765233,1637,2,222
3740538,2242,2,261
3687070,1633,2,211
3765150,2286,2,210
3687630,2269,2,156
4008301,1917,2,192
