trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10020252630651583,17:05:00,17:05:00,1756,1,,
10020252630651583,17:06:00,17:06:00,1635,2,,
10020252630651583,17:08:00,17:08:00,2002,3,,
10020252630651583,17:09:00,17:09:00,2013,4,,
10020252630651583,17:10:00,17:10:00,2075,5,,
10020252630651583,17:11:00,17:11:00,1902,6,,
10020252630651583,17:13:00,17:13:00,1861,7,,
10020252640651583,13:44:00,13:44:00,1756,1,,
10020252640651583,13:45:00,13:45:00,1635,2,,
10020252640651583,13:47:00,13:47:00,2002,3,,
10020252640651583,13:48:00,13:48:00,2013,4,,
10020252640651583,13:50:00,13:50:00,2075,5,,
10020252640651583,13:51:00,13:51:00,1902,6,,
10020252640651583,13:52:00,13:52:00,1861,7,,
10020252650651583,14:36:00,14:36:00,1756,1,,
10020252650651583,14:37:00,14:37:00,1635,2,,
10020252650651583,14:39:00,14:39:00,2002,3,,
10020252650651583,14:40:00,14:40:00,2013,4,,
10020252650651583,14:42:00,14:42:00,2075,5,,
10020252650651583,14:43:00,14:43:00,1902,6,,
10020252650651583,14:44:00,14:44:00,1861,7,,
10020252660651583,17:05:00,17:05:00,1756,1,,
10020252660651583,17:06:00,17:06:00,1635,2,,
10020252660651583,17:08:00,17:08:00,2002,3,,
10020252660651583,17:09:00,17:09:00,2013,4,,
10020252660651583,17:10:00,17:10:00,2075,5,,
10020252660651583,17:11:00,17:11:00,1902,6,,
10020252660651583,17:13:00,17:13:00,1861,7,,
10020252670651583,13:44:00,13:44:00,1756,1,,
10020252670651583,13:45:00,13:45:00,1635,2,,
10020252670651583,13:47:00,13:47:00,2002,3,,
10020252670651583,13:48:00,13:48:00,2013,4,,
10020252670651583,13:50:00,13:50:00,2075,5,,
10020252670651583,13:51:00,13:51:00,1902,6,,
10020252670651583,13:52:00,13:52:00,1861,7,,
10020252680651583,14:36:00,14:36:00,1756,1,,
10020252680651583,14:37:00,14:37:00,1635,2,,
10020252680651583,14:39:00,14:39:00,2002,3,,
10020252680651583,14:40:00,14:40:00,2013,4,,
10020252680651583,14:41:00,14:41:00,2075,5,,
10020252680651583,14:42:00,14:42:00,1902,6,,
10020252680651583,14:44:00,14:44:00,1861,7,,
10120252630651583,17:11:00,17:11:00,1756,1,,
10120252630651583,17:12:00,17:12:00,1635,2,,
10120252630651583,17:14:00,17:14:00,2002,3,,
10120252630651583,17:15:00,17:15:00,2013,4,,
10120252630651583,17:16:00,17:16:00,2075,5,,
10120252630651583,17:17:00,17:17:00,1902,6,,
10120252630651583,17:19:00,17:19:00,1861,7,,
10120252640651583,13:50:00,13:50:00,1756,1,,
10120252640651583,13:51:00,13:51:00,1635,2,,
10120252640651583,13:52:00,13:52:00,2002,3,,
10120252640651583,13:53:00,13:53:00,2013,4,,
10120252640651583,13:55:00,13:55:00,2075,5,,
10120252640651583,13:56:00,13:56:00,1902,6,,
