from_stop_id,to_stop_id,transfer_type,min_transfer_time
4035558,2328,2,251
4010680,1861,2,275
3765014,1797,2,282
4354376,1861,2,251
1860,2328,2,75
1861,4035911,2,270
1861,4035912,2,251
4035555,2298,2,269
3747968,1861,2,270
4354176,2298,2,220
1797,1798,2,75
3765013,1797,2,247
4035818,1902,2,276
1797,2408,2,79
4354140,2124,2,195
4354137,1861,2,251
1902,1900,2,143
4354377,2328,2,196
3749761,1902,2,205
3749760,2298,2,269
2298,4035910,2,205
3749760,1902,2,269
4010679,1861,2,196
4354137,2328,2,251
1902,2296,2,143
1860,1861,2,60
4010680,2328,2,275
4354141,2075,2,188
3749797,2434,2,206
4354377,1861,2,196
2328,4036974,2,270
3749753,2191,2,221
2328,4036975,2,251
2297,2298,2,161
4354139,2298,2,276
3926419,1635,2,216
4035811,1861,2,270
4354380,2124,2,188
4035557,1861,2,270
3749751,1797,2,282
3749750,1797,2,247
3765016,2002,2,221
4354477,2298,2,220
4354138,2328,2,196
3765016,2191,2,221
3749797,1756,2,206
3749752,2002,2,202
4035556,1902,2,205
4354380,2075,2,188
2327,1861,2,70
3749753,2002,2,221
3749796,1756,2,275
4010679,2328,2,196
3765015,2002,2,202
4035818,2298,2,276
2298,4036973,2,205
2298,4035909,2,269
2298,4036972,2,269
4035812,1861,2,251
2327,2328,2,60
3749761,2298,2,205
3749752,2191,2,202
4035555,1902,2,269
3749796,2434,2,275
1902,4035910,2,205
4354139,1902,2,276
1901,2298,2,166
4354378,2298,2,276
4354378,1902,2,276
4354376,2328,2,251
1902,4036972,2,269
1861,4036974,2,270
2298,1900,2,133
1861,4036975,2,251
1902,4036973,2,205
4354176,1902,2,220
1901,1902,2,174
2298,2296,2,133
4354138,1861,2,196
4035811,2328,2,270
2328,4035912,2,251
4035557,2328,2,270
2328,4035911,2,270
4354379,2124,2,195
4035556,2298,2,205
3747968,2328,2,270
4354140,2075,2,195
2297,1902,2,168
4354141,2124,2,188
3765015,2191,2,202
1902,4035909,2,269
4354477,1902,2,220
3926418,1635,2,217
4035812,2328,2,251
4354379,2075,2,195
4035558,1861,2,251
