route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1197613,1762312,10017623120917606,102,102,0,
1197613,1762313,10017623130917606,102,102,0,
1197613,1762314,10017623140917606,102,102,0,
1197613,1762315,10017623150917606,102,102,0,
1197613,1762316,10017623160917606,102,102,0,
1197613,1762317,10017623170917606,102,102,0,
1197613,1762318,10017623180917606,102,102,0,
1197613,1762319,10017623190917606,102,102,0,
1197613,1762320,10017623200917606,102,102,0,
1197613,1762321,10017623210917606,102,102,0,
1197613,1762312,10117623120917606,102,102,0,
1197613,1762313,10117623130917606,102,102,0,
1197613,1762314,10117623140917606,102,102,0,
1197613,1762315,10117623150917606,102,102,0,
1197613,1762316,10117623160917606,102,102,0,
1197613,1762317,10117623170917606,102,102,0,
1197613,1762318,10117623180917606,102,102,0,
1197613,1762319,10117623190917606,102,102,0,
1197613,1762320,10117623200917606,102,102,0,
1197613,1762321,10117623210917606,102,102,0,
1197613,1762312,1017623120917606,102,102,0,
1197613,1762313,1017623130917606,102,102,0,
1197613,1762314,1017623140917606,102,102,0,
1197613,1762315,1017623150917606,102,102,0,
1197613,1762316,1017623160917606,102,102,0,
1197613,1762317,1017623170917606,102,102,0,
1197613,1762318,1017623180917606,102,102,0,
1197613,1762319,1017623190917606,102,102,0,
1197613,1762320,1017623200917606,102,102,0,
1197613,1762321,1017623210917606,102,102,0,
1197613,1762312,10217623120917606,102,102,0,
1197613,1762313,10217623130917606,102,102,0,
1197613,1762314,10217623140917606,102,102,0,
1197613,1762315,10217623150917606,102,102,0,
1197613,1762316,10217623160917606,102,102,0,
1197613,1762317,10217623170917606,102,102,0,
1197613,1762318,10217623180917606,102,102,0,
1197613,1762319,10217623190917606,102,102,0,
1197613,1762320,10217623200917606,102,102,0,
1197613,1762321,10217623210917606,102,102,0,
1197613,1762312,10317623120917606,102,102,0,
1197613,1762313,10317623130917606,102,102,0,
1197613,1762314,10317623140917606,102,102,0,
1197613,1762315,10317623150917606,102,102,0,
1197613,1762316,10317623160917606,102,102,0,
1197613,1762317,10317623170917606,102,102,0,
1197613,1762318,10317623180917606,102,102,0,
1197613,1762319,10317623190917606,102,102,0,
1197613,1762320,10317623200917606,102,102,0,
1197613,1762321,10317623210917606,102,102,0,
1197613,1762312,10417623120917606,102,102,0,
1197613,1762313,10417623130917606,102,102,0,
1197613,1762314,10417623140917606,102,102,0,
1197613,1762315,10417623150917606,102,102,0,
1197613,1762316,10417623160917606,102,102,0,
1197613,1762317,10417623170917606,102,102,0,
1197613,1762318,10417623180917606,102,102,0,
1197613,1762319,10417623190917606,102,102,0,
1197613,1762320,10417623200917606,102,102,0,
1197613,1762321,10417623210917606,102,102,0,
1197613,1762312,10517623120917606,102,102,0,
1197613,1762313,10517623130917606,102,102,0,
1197613,1762314,10517623140917606,102,102,0,
1197613,1762315,10517623150917606,102,102,0,
1197613,1762316,10517623160917606,102,102,0,
1197613,1762317,10517623170917606,102,102,0,
1197613,1762318,10517623180917606,102,102,0,
1197613,1762319,10517623190917606,102,102,0,
1197613,1762320,10517623200917606,102,102,0,
1197613,1762321,10517623210917606,102,102,0,
1197613,1762312,10617623120917606,102,102,0,
1197613,1762313,10617623130917606,102,102,0,
1197613,1762314,10617623140917606,102,102,0,
1197613,1762315,10617623150917606,102,102,0,
1197613,1762316,10617623160917606,102,102,0,
1197613,1762317,10617623170917606,102,102,0,
1197613,1762318,10617623180917606,102,102,0,
1197613,1762319,10617623190917606,102,102,0,
1197613,1762320,10617623200917606,102,102,0,
1197613,1762321,10617623210917606,102,102,0,
1197613,1762312,10717623120917606,102,102,0,
1197613,1762313,10717623130917606,102,102,0,
1197613,1762314,10717623140917606,102,102,0,
1197613,1762315,10717623150917606,102,102,0,
1197613,1762316,10717623160917606,102,102,0,
1197613,1762317,10717623170917606,102,102,0,
1197613,1762318,10717623180917606,102,102,0,
1197613,1762319,10717623190917606,102,102,0,
1197613,1762320,10717623200917606,102,102,0,
1197613,1762321,10717623210917606,102,102,0,
1197613,1762312,10817623120917606,102,102,0,
1197613,1762313,10817623130917606,102,102,0,
1197613,1762314,10817623140917606,102,102,0,
1197613,1762315,10817623150917606,102,102,0,
1197613,1762316,10817623160917606,102,102,0,
1197613,1762317,10817623170917606,102,102,0,
1197613,1762318,10817623180917606,102,102,0,
1197613,1762319,10817623190917606,102,102,0,
1197613,1762320,10817623200917606,102,102,0,
1197613,1762321,10817623210917606,102,102,0,
1197613,1762312,10917623120917606,102,102,0,
1197613,1762313,10917623130917606,102,102,0,
1197613,1762314,10917623140917606,102,102,0,
1197613,1762315,10917623150917606,102,102,0,
1197613,1762316,10917623160917606,102,102,0,
1197613,1762317,10917623170917606,102,102,0,
1197613,1762318,10917623180917606,102,102,0,
1197613,1762319,10917623190917606,102,102,0,
1197613,1762320,10917623200917606,102,102,0,
1197613,1762321,10917623210917606,102,102,0,
1197613,1762312,11017623120917606,102,102,0,
1197613,1762313,11017623130917606,102,102,0,
1197613,1762314,11017623140917606,102,102,0,
1197613,1762315,11017623150917606,102,102,0,
1197613,1762316,11017623160917606,102,102,0,
1197613,1762317,11017623170917606,102,102,0,
1197613,1762318,11017623180917606,102,102,0,
1197613,1762319,11017623190917606,102,102,0,
1197613,1762320,11017623200917606,102,102,0,
1197613,1762321,11017623210917606,102,102,0,
1197613,1762312,11117623120917606,102,102,0,
1197613,1762313,11117623130917606,102,102,0,
1197613,1762314,11117623140917606,102,102,0,
1197613,1762315,11117623150917606,102,102,0,
1197613,1762316,11117623160917606,102,102,0,
1197613,1762317,11117623170917606,102,102,0,
1197613,1762318,11117623180917606,102,102,0,
1197613,1762319,11117623190917606,102,102,0,
1197613,1762320,11117623200917606,102,102,0,
1197613,1762321,11117623210917606,102,102,0,
1197613,1762312,1117623120917606,102,102,0,
1197613,1762313,1117623130917606,102,102,0,
1197613,1762314,1117623140917606,102,102,0,
1197613,1762315,1117623150917606,102,102,0,
1197613,1762316,1117623160917606,102,102,0,
1197613,1762317,1117623170917606,102,102,0,
1197613,1762318,1117623180917606,102,102,0,
1197613,1762319,1117623190917606,102,102,0,
1197613,1762320,1117623200917606,102,102,0,
1197613,1762321,1117623210917606,102,102,0,
1197613,1762312,11217623120917606,102,102,0,
