service_id,date,exception_type
2096303,20160802,1
2096303,20160803,1
2096303,20160804,1
2096303,20160808,1
2096303,20160809,1
2096303,20160810,1
2096303,20160811,1
2096303,20160816,1
2096303,20160817,1
2096303,20160818,1
2096303,20160822,1
2096303,20160823,1
2096303,20160824,1
2096303,20160825,1
12025566,20160808,1
12025566,20160816,1
12025566,20160822,1
12025566,20160829,1
12025566,20160905,1
12025566,20160912,1
12025566,20160919,1
12025566,20160926,1
12045980,20160903,1
12045980,20160910,1
12096369,20160917,1
12096369,20160924,1
12096369,20161001,1
12096369,20161022,1
12096369,20161029,1
12096369,20161224,1
2187394,20160806,1
2187394,20160813,1
2187394,20160814,1
2187394,20160820,1
2187394,20160827,1
2187394,20160903,1
2187394,20160910,1
2187394,20160917,1
2187394,20160924,1
12096303,20160803,1
12096303,20160804,1
12096303,20160805,1
12096303,20160809,1
12096303,20160810,1
12096303,20160811,1
12096303,20160812,1
12096303,20160817,1
12096303,20160818,1
12096303,20160819,1
12096303,20160823,1
12096303,20160824,1
12096303,20160825,1
12096303,20160826,1
2187395,20161003,1
2187395,20161004,1
2187395,20161005,1
2187395,20161006,1
2187395,20161010,1
2187395,20161011,1
2187395,20161012,1
2187395,20161013,1
2187395,20161017,1
2187395,20161018,1
2187395,20161019,1
2187395,20161103,1
2187395,20161107,1
2187395,20161108,1
2187395,20161109,1
2187395,20161114,1
2187395,20161115,1
2187395,20161116,1
2187395,20161117,1
2187395,20161121,1
2187395,20161122,1
2187395,20161123,1
2187395,20161124,1
2187395,20161128,1
2187395,20161129,1
2187395,20161130,1
2187395,20161201,1
2187395,20161205,1
2187395,20161206,1
2187395,20161207,1
2187395,20161208,1
2187395,20161212,1
2187395,20161213,1
2187395,20161214,1
2187395,20161215,1
2187396,20161001,1
2187396,20161008,1
2187396,20161015,1
2096369,20160916,1
2096369,20160923,1
2096369,20160930,1
2096369,20161021,1
2096369,20161028,1
2096369,20161223,1
2025576,20160913,1
2025576,20160914,1
2025576,20160915,1
2025576,20160919,1
2025576,20160920,1
2025576,20160921,1
2025576,20160922,1
2025576,20160926,1
2025576,20160927,1
2025576,20160928,1
2025576,20160929,1
2025576,20161020,1
2025576,20161024,1
2025576,20161025,1
2025576,20161026,1
2025576,20161027,1
2025576,20161102,1
2025576,20161219,1
2025576,20161220,1
2025576,20161221,1
2025576,20161222,1
12045978,20160902,1
12045978,20160906,1
12045978,20160907,1
12045978,20160908,1
12045978,20160909,1
12045978,20160913,1
2181816,20161023,1
2181816,20161030,1
2181816,20161101,1
2181816,20161106,1
2181816,20161113,1
2181816,20161120,1
2181816,20161127,1
2181816,20161204,1
2181816,20161211,1
2181816,20161218,1
2181816,20161225,1
2181817,20161002,1
2181817,20161009,1
2181817,20161016,1
2187399,20161031,1
2187399,20161230,1
12096282,20161112,1
12181817,20161003,1
12181817,20161010,1
12181817,20161017,1
12025576,20160914,1
12025576,20160915,1
12025576,20160916,1
12025576,20160920,1
12025576,20160921,1
12025576,20160922,1
12025576,20160923,1
12025576,20160927,1
12025576,20160928,1
12025576,20160929,1
12025576,20160930,1
12025576,20161021,1
12025576,20161025,1
12025576,20161026,1
12025576,20161027,1
12025576,20161028,1
12025576,20161103,1
12025576,20161220,1
12025576,20161221,1
12025576,20161222,1
12025576,20161223,1
2187398,20161022,1
2187398,20161029,1
2187398,20161105,1
2187398,20161112,1
2187398,20161119,1
2187398,20161126,1
2187398,20161203,1
2187398,20161210,1
2187398,20161217,1
2187398,20161224,1
2187398,20161231,1
2187397,20161007,1
2187397,20161014,1
2187397,20161104,1
2187397,20161110,1
2187397,20161118,1
2187397,20161125,1
2187397,20161202,1
2187397,20161209,1
2187397,20161216,1
2096333,20160829,1
2096333,20160830,1
2096333,20160831,1
2096333,20161226,1
2096333,20161227,1
2096333,20161228,1
2096333,20161229,1
12181816,20161024,1
12181816,20161031,1
12181816,20161102,1
12181816,20161107,1
12181816,20161114,1
12181816,20161121,1
12181816,20161128,1
12181816,20161205,1
12181816,20161212,1
12181816,20161219,1
12181816,20161226,1
2096282,20161111,1
2045978,20160901,1
2045978,20160905,1
2045978,20160906,1
2045978,20160907,1
2045978,20160908,1
2045978,20160912,1
12187396,20161002,1
12187396,20161009,1
12187396,20161016,1
12187397,20161008,1
12187397,20161015,1
12187397,20161105,1
12187397,20161111,1
12187397,20161119,1
12187397,20161126,1
12187397,20161203,1
12187397,20161210,1
12187397,20161217,1
2025566,20160807,1
2025566,20160815,1
2025566,20160821,1
2025566,20160828,1
2025566,20160904,1
2025566,20160911,1
2025566,20160918,1
2025566,20160925,1
12096377,20160806,1
12096377,20160813,1
12096377,20160820,1
12096377,20160827,1
12187398,20161023,1
12187398,20161030,1
12187398,20161106,1
12187398,20161113,1
12187398,20161120,1
12187398,20161127,1
12187398,20161204,1
12187398,20161211,1
12187398,20161218,1
12187398,20161225,1
12187398,20170101,1
12187399,20161101,1
12187399,20161231,1
2096377,20160805,1
2096377,20160812,1
2096377,20160819,1
2096377,20160826,1
12096333,20160830,1
12096333,20160831,1
12096333,20160901,1
