from_stop_id,to_stop_id,transfer_type,min_transfer_time
2308,4354125,2,250
2308,4354126,2,239
2477,5138183,2,226
4037294,2526,2,238
2512,4037035,2,198
3764747,1826,2,238
1782,3926247,2,288
1723,1715,2,480
1826,1827,2,370
2365,3926246,2,251
1723,3747809,2,199
4037277,1792,2,188
1826,1825,2,396
4009616,2365,2,226
4016450,1906,2,233
3764456,2501,2,234
1743,3813341,2,214
1743,3813340,2,232
4016449,1906,2,200
1723,2469,2,149
4037283,2468,2,225
2496,5138029,2,255
5156448,2337,2,322
1723,1724,2,141
4009231,1870,2,269
4009632,1669,2,204
1723,3747810,2,199
2428,3813507,2,190
2428,3813506,2,208
2428,4037029,2,228
1826,4037037,2,216
5067574,1986,2,268
3812956,1691,2,197
3343763,1982,2,180
1782,2391,2,79
4016449,2267,2,200
2421,3750043,2,251
4009272,2337,2,242
2421,3750045,2,244
4009642,2468,2,237
2365,3764966,2,235
3740513,1686,2,257
2421,4035715,2,194
4009638,1982,2,209
2421,4035714,2,210
4009636,2052,2,211
4739210,1723,2,225
2363,2365,2,108
4037297,1826,2,251
1686,4354121,2,262
2337,5073998,2,220
3813041,1842,2,200
3343764,2172,2,180
1686,4354122,2,237
2365,3764967,2,213
2337,5073997,2,322
2282,4035721,2,184
2468,1166840,2,180
2282,4035720,2,251
2365,3887778,2,280
4016504,2279,2,257
2468,1166841,2,180
2365,3887779,2,288
3765210,2477,2,218
2308,3764501,2,257
2308,3764500,2,250
4009634,2479,2,254
2308,4354367,2,239
2174,4037032,2,189
2308,4354366,2,250
2512,4473023,2,198
3812959,1782,2,208
4473147,2365,2,251
4009620,1826,2,280
2174,3749880,2,189
2279,3765046,2,267
2365,3887780,2,223
2279,3765047,2,250
2365,3813156,2,251
4008422,2172,2,198
3807618,2392,2,208
1826,3887812,2,238
4009626,2477,2,194
2468,4354483,2,234
2468,5158082,2,253
3764784,2365,2,238
2468,5158081,2,225
1883,5018150,2,245
1883,5018151,2,225
1686,4016339,2,288
1826,3926186,2,241
1826,3926187,2,254
4726707,1667,2,190
1826,3926188,2,213
1826,3926189,2,288
4016506,1906,2,233
3740514,1686,2,213
3765442,2172,2,209
3764747,2365,2,238
1723,4354181,2,234
1826,4472995,2,216
4037289,2052,2,211
1826,4472994,2,252
1826,4472993,2,252
4009633,2101,2,198
1826,4472992,2,251
1826,4037001,2,288
1826,4037002,2,251
1792,2401,2,108
2479,3687097,2,227
4036852,1883,2,225
2479,3687098,2,198
1826,4037000,2,280
1723,4036748,2,250
1826,4037004,2,222
1723,4036747,2,225
1826,4037003,2,254
2468,4459239,2,225
1723,4036749,2,209
1686,4354363,2,237
3765218,2052,2,223
1686,4354362,2,262
2468,4036660,2,284
2468,4036661,2,250
4022887,2172,2,222
3740559,1723,2,228
3926167,1743,2,234
3764708,2365,2,246
2337,4473008,2,225
1826,3926190,2,280
2337,4473009,2,225
2468,4459240,2,209
1750,4037029,2,228
2468,5158083,2,209
2496,4016339,2,288
2468,3749690,2,228
2455,5138040,2,208
2468,3749691,2,221
3741069,2421,2,254
3765153,1723,2,225
4037359,2468,2,225
3807622,1667,2,190
2468,3749689,2,202
2468,3749688,2,234
4037296,2365,2,280
2279,5018150,2,245
2365,3813115,2,238
2279,5018151,2,225
2365,3813116,2,208
2365,3813113,2,222
2365,3813114,2,210
2365,3813112,2,222
4726732,2477,2,190
2392,3887810,2,218
2365,4037037,2,216
3807586,1667,2,213
1792,3749664,2,203
1826,5289149,2,222
3741063,1883,2,200
2526,4036996,2,238
1792,3749663,2,188
2476,2477,2,57
1826,5289151,2,288
2402,2401,2,122
4687336,2176,2,228
1869,3811234,2,205
1826,5289150,2,216
1750,4473015,2,228
2468,3893335,2,250
2468,3893336,2,250
1723,4008888,2,220
2455,3893419,2,229
2455,3893418,2,259
3765435,2455,2,259
3741064,1883,2,208
2267,3749933,2,215
2267,3749932,2,215
4009637,2172,2,209
3807615,1691,2,197
1906,3749932,2,215
4473149,2365,2,222
1906,3749933,2,215
2309,5138044,2,195
5067573,2176,2,228
3765219,2052,2,211
3764756,1826,2,246
4472690,2468,2,195
3765440,2101,2,211
3765435,1710,2,259
3765437,1669,2,204
2468,1724,2,131
4009631,2479,2,204
1826,4045006,2,251
1826,4045007,2,222
1826,4045008,2,213
1743,3750043,2,251
4037294,1646,2,238
1826,4045009,2,288
3764708,1826,2,246
3765217,2479,2,254
1841,4016278,2,257
1984,3749880,2,189
1743,3750045,2,244
1841,4016279,2,250
2308,3749683,2,250
2308,3749682,2,239
1824,1826,2,108
3901291,3908823,2,198
4997009,1743,2,244
4036852,2279,2,225
4016506,2267,2,233
4009231,2337,2,269
2468,1715,2,480
4009630,1710,2,259
3901291,3908822,2,199
3901291,3908821,2,199
4009670,2468,2,237
2526,3687419,2,238
3765213,2455,2,226
3764710,1826,2,228
4037361,2468,2,209
3926168,1743,2,257
1669,5138178,2,204
3740517,2468,2,237
1655,1883,2,180
4037251,2365,2,252
1710,3687100,2,250
3812959,2392,2,208
4009635,2101,2,223
3765436,1669,2,204
2337,5091938,2,237
1691,4037033,2,197
4037277,2402,2,188
2365,3764995,2,221
2365,3764994,2,190
3716875,2336,2,279
3765213,1710,2,226
1710,5138040,2,208
4472615,1870,2,262
4016688,1743,2,252
1723,3926216,2,198
1869,3811284,2,201
1723,3926217,2,237
1667,5138042,2,226
1782,5151513,2,208
1869,4008281,2,201
2337,5091946,2,220
2337,5091945,2,233
3765214,2479,2,196
2337,3681788,2,225
2337,3681789,2,275
1667,3813061,2,190
3807622,2477,2,190
3812975,1826,2,190
3765214,1669,2,196
4472561,1723,2,221
2309,5138187,2,200
2309,5138186,2,195
3813041,2309,2,200
2174,5151501,2,189
2365,5151510,2,235
2479,3893414,2,254
2365,5151511,2,254
2479,3893417,2,196
2365,5151512,2,229
2496,4354363,2,237
2479,3893416,2,227
2479,5138039,2,204
2496,4354362,2,262
1883,4211798,2,245
4726726,1632,2,198
1883,4211797,2,225
2501,3749883,2,197
4473148,1826,2,222
4739208,1869,2,209
4726727,1782,2,208
4008422,1982,2,198
2468,4726914,2,224
3765436,2479,2,204
2468,4726915,2,198
4739207,1982,2,209
1723,4008837,2,237
4472628,2337,2,209
4016505,2267,2,200
4473118,1723,2,284
3765215,1669,2,227
1686,3749686,2,237
4726707,2477,2,190
1686,3749687,2,262
1723,4726963,2,238
1792,3764495,2,226
2156,2090,2,180
1792,3764494,2,226
2477,3813108,2,218
4009640,2336,2,279
1870,3681864,2,275
3716877,1982,2,209
2526,5289105,2,238
2365,4045007,2,222
2365,4045008,2,213
2365,4045006,2,251
4726732,1667,2,190
2365,4045009,2,288
1646,5289105,2,238
4037793,1982,2,209
3740517,1723,2,237
3807615,2501,2,197
3764757,2365,2,228
1870,4473293,2,322
3813038,2365,2,238
4473116,1723,2,227
2428,3749875,2,259
2428,3749876,2,275
2428,3749877,2,182
1870,4473290,2,225
1906,3749639,2,215
1906,3749638,2,221
1870,4473291,2,209
2526,3926194,2,238
2421,3666627,2,206
2421,3666626,2,189
1743,4035715,2,194
1723,3749937,2,247
2402,4045027,2,203
4997009,2421,2,244
4687337,2176,2,268
2496,4354122,2,237
1667,5138220,2,194
2496,4354121,2,262
1743,4035714,2,210
4009623,1646,2,199
4473631,2337,2,311
2468,3764794,2,207
2468,4472773,2,228
4726702,2392,2,208
2468,3764795,2,207
2468,4472774,2,250
1826,4473029,2,229
1723,4726915,2,198
3813039,1826,2,213
1723,4726914,2,224
1686,5138164,2,255
1826,4473027,2,235
1826,4473028,2,254
1686,5138165,2,288
1824,2365,2,108
1782,5121375,2,208
1723,5018192,2,225
4009642,1723,2,237
2365,4037000,2,280
2365,4037001,2,288
2365,4037002,2,251
2428,5151498,2,228
2365,4037003,2,254
3765441,1982,2,209
3740515,2468,2,234
2365,4037004,2,222
4037296,1826,2,280
1723,5018190,2,284
4472690,1723,2,195
3807617,1632,2,198
3740515,1723,2,234
4472560,2468,2,227
4009272,1870,2,242
1722,2468,2,220
3764758,2365,2,223
2245,3749928,2,212
1870,4473009,2,225
2172,4008208,2,222
2245,3749929,2,288
1870,4473008,2,225
2174,3893521,2,207
4473553,1870,2,311
2174,3893520,2,196
1841,3764582,2,257
5067573,1986,2,228
1646,3887775,2,275
1646,3887774,2,255
4473119,1723,2,221
1869,4008206,2,205
4473118,2468,2,284
2037,2551,2,180
1723,4354361,2,199
2402,3740304,2,188
1723,4354360,2,216
3765218,2101,2,223
3812975,2365,2,190
2526,5138043,2,199
4009624,2526,2,199
2512,3887809,2,198
2052,3893412,2,211
4726702,1782,2,208
2172,1980,2,119
2052,3893415,2,198
2052,3893413,2,223
2477,3893422,2,220
2402,3764495,2,226
2402,3764494,2,226
2337,4473290,2,225
2337,4473291,2,209
1666,1667,2,65
4472560,1723,2,227
2477,3893423,2,194
2337,4473293,2,322
4009623,2526,2,199
1826,3442436,2,246
1826,5121373,2,254
4472691,1723,2,284
1826,3442432,2,190
1826,5121372,2,226
1826,3442433,2,221
1826,3442434,2,228
1826,5121374,2,211
1826,5121381,2,235
1826,5121382,2,235
4472692,2468,2,221
2477,5138220,2,194
2172,2170,2,96
2365,4472992,2,251
2337,4037025,2,225
2337,4037024,2,225
1750,3749875,2,259
1750,3749876,2,275
1750,3749877,2,182
1826,5121383,2,265
2468,4036748,2,250
2468,4036749,2,209
2468,4036747,2,225
2365,4472995,2,216
3812976,1826,2,208
2365,4472993,2,252
2421,3666679,2,206
2365,4472994,2,252
1723,4036827,2,284
2421,3666678,2,189
5067574,2176,2,268
2267,5018152,2,228
3716942,1982,2,209
2267,5018153,2,229
5355360,3901291,2,207
5355360,3901292,2,207
1842,3442464,2,200
2365,5289107,2,280
2365,5289108,2,251
2468,4016359,2,237
1743,3666678,2,189
2365,5289109,2,254
4010692,2402,2,188
1723,3749915,2,198
1743,3666679,2,206
1723,3749916,2,225
1826,2366,2,241
1826,2364,2,396
1646,5138043,2,199
4022946,1669,2,254
2365,5289150,2,216
