service_id,date,exception_type
12025546,20160902,1
12025546,20160906,1
12025546,20160907,1
12025546,20160908,1
12025546,20160909,1
12025546,20160913,1
12025546,20160914,1
12025546,20160915,1
12025546,20160916,1
12025546,20160920,1
12025546,20160921,1
12025546,20160922,1
12025546,20160923,1
12025546,20160927,1
12025546,20160928,1
12025546,20160929,1
12025546,20160930,1
12025546,20161021,1
12025546,20161025,1
12025546,20161026,1
12025546,20161027,1
12025546,20161028,1
12025546,20161103,1
12025546,20161220,1
12025546,20161221,1
12025546,20161222,1
12025546,20161223,1
12025547,20161004,1
12025547,20161005,1
12025547,20161006,1
12025547,20161007,1
12025547,20161011,1
12025547,20161012,1
12025547,20161013,1
12025547,20161014,1
12025547,20161018,1
12025547,20161019,1
12025547,20161020,1
12025547,20161104,1
12025547,20161108,1
12025547,20161109,1
12025547,20161110,1
12025547,20161115,1
12025547,20161116,1
12025547,20161117,1
12025547,20161118,1
12025547,20161122,1
12025547,20161123,1
12025547,20161124,1
12025547,20161125,1
12025547,20161129,1
12025547,20161130,1
12025547,20161201,1
12025547,20161202,1
12025547,20161206,1
12025547,20161207,1
12025547,20161208,1
12025547,20161209,1
12025547,20161213,1
12025547,20161214,1
12025547,20161215,1
12025547,20161216,1
12025548,20160830,1
12025548,20160831,1
12025548,20160901,1
12025548,20161227,1
12025548,20161228,1
12025548,20161229,1
12025548,20161230,1
12025549,20160807,1
12025549,20160814,1
12025549,20160815,1
12025549,20160821,1
12025549,20160828,1
12025549,20160904,1
12025549,20160911,1
12025549,20160918,1
12025549,20160925,1
2025542,20161111,1
12025542,20161112,1
12025543,20161003,1
12025543,20161010,1
12025543,20161017,1
12025543,20161024,1
12025543,20161031,1
12025543,20161102,1
12025543,20161107,1
12025543,20161114,1
12025543,20161121,1
12025543,20161128,1
12025543,20161205,1
12025543,20161212,1
12025543,20161219,1
12025543,20161226,1
12025544,20160808,1
12025544,20160816,1
12025544,20160822,1
12025544,20160829,1
12025544,20160905,1
12025544,20160912,1
12025544,20160919,1
12025544,20160926,1
12025545,20160803,1
12025545,20160804,1
12025545,20160805,1
12025545,20160809,1
12025545,20160810,1
12025545,20160811,1
12025545,20160812,1
12025545,20160817,1
12025545,20160818,1
12025545,20160819,1
12025545,20160823,1
12025545,20160824,1
12025545,20160825,1
12025545,20160826,1
2025554,20161007,1
2025554,20161014,1
2025554,20161104,1
2025554,20161110,1
2025554,20161118,1
2025554,20161125,1
2025554,20161202,1
2025554,20161209,1
2025554,20161216,1
2025551,20161031,1
2025551,20161230,1
2025550,20161001,1
2025550,20161008,1
2025550,20161015,1
2025550,20161022,1
2025550,20161029,1
2025550,20161105,1
2025550,20161112,1
2025550,20161119,1
2025550,20161126,1
2025550,20161203,1
2025550,20161210,1
2025550,20161217,1
2025550,20161224,1
2025550,20161231,1
2025553,20160902,1
2025553,20160909,1
2025553,20160916,1
2025553,20160923,1
2025553,20160930,1
2025553,20161021,1
2025553,20161028,1
2025553,20161223,1
12025553,20160903,1
12025553,20160910,1
12025553,20160917,1
12025553,20160924,1
12025553,20161001,1
12025553,20161022,1
12025553,20161029,1
12025553,20161224,1
12025554,20161008,1
12025554,20161015,1
12025554,20161105,1
12025554,20161111,1
12025554,20161119,1
12025554,20161126,1
12025554,20161203,1
12025554,20161210,1
12025554,20161217,1
2025552,20160805,1
2025552,20160812,1
2025552,20160819,1
2025552,20160826,1
12025551,20161101,1
12025551,20161231,1
12025552,20160806,1
12025552,20160813,1
12025552,20160820,1
12025552,20160827,1
12025550,20161002,1
12025550,20161009,1
12025550,20161016,1
12025550,20161023,1
12025550,20161030,1
12025550,20161106,1
12025550,20161113,1
12025550,20161120,1
12025550,20161127,1
12025550,20161204,1
12025550,20161211,1
12025550,20161218,1
12025550,20161225,1
12025550,20170101,1
