service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025546,0,0,0,0,0,0,0,20160902,20161223
12025547,0,0,0,0,0,0,0,20161004,20161216
12025548,0,0,0,0,0,0,0,20160830,20161230
12025549,0,0,0,0,0,0,0,20160807,20160925
2025542,0,0,0,0,0,0,0,20161111,20161111
12025542,0,0,0,0,0,0,0,20161112,20161112
12025543,0,0,0,0,0,0,0,20161003,20161226
12025544,0,0,0,0,0,0,0,20160808,20160926
12025545,0,0,0,0,0,0,0,20160803,20160826
2025554,0,0,0,0,0,0,0,20161007,20161216
2025551,0,0,0,0,0,0,0,20161031,20161230
2025550,0,0,0,0,0,0,0,20161001,20161231
2025553,0,0,0,0,0,0,0,20160902,20161223
12025553,0,0,0,0,0,0,0,20160903,20161224
12025554,0,0,0,0,0,0,0,20161008,20161217
2025552,0,0,0,0,0,0,0,20160805,20160826
12025551,0,0,0,0,0,0,0,20161101,20161231
12025552,0,0,0,0,0,0,0,20160806,20160827
12025550,0,0,0,0,0,0,0,20161002,20170101
2025547,0,0,0,0,0,0,0,20161003,20161215
2025548,0,0,0,0,0,0,0,20160829,20161229
2025549,0,0,0,0,0,0,0,20160806,20160924
2025543,0,0,0,0,0,0,0,20161002,20161225
2025544,0,0,0,0,0,0,0,20160807,20160925
2025545,0,0,0,0,0,0,0,20160802,20160825
2025546,0,0,0,0,0,0,0,20160901,20161222
