from_stop_id,to_stop_id,transfer_type,min_transfer_time
1166836,3893346,2,201
1166836,3893345,2,269
1166834,3764615,2,252
1166832,3747837,2,247
1166827,3765300,2,217
3716896,1166831,2,216
1166834,3764616,2,199
4008837,1166841,2,237
3716896,1166830,2,216
1166834,3764617,2,216
4008837,1166840,2,237
1166834,4036768,2,216
1166834,4036767,2,242
1166834,4036769,2,282
1166833,3926299,2,247
1166836,5138171,2,288
5325151,1166828,2,409
1166836,5138170,2,252
5325151,1166829,2,409
4036869,1166834,2,199
1166833,3926298,2,225
1166834,3764812,2,218
1166838,4008206,2,205
1166834,3764811,2,243
1166836,5138033,2,252
4036869,1166835,2,199
3749937,1166841,2,247
3749937,1166840,2,247
4726942,1166833,2,286
3716943,1166839,2,209
3716943,1166838,2,209
4475950,1166828,2,409
4475950,1166829,2,409
1166832,4025472,2,204
4009668,1166841,2,209
3749916,1166841,2,225
4009668,1166840,2,209
4472690,1166841,2,195
1166832,4035992,2,195
4472690,1166840,2,195
1166832,4035991,2,225
1166832,4035990,2,247
4726942,1166832,2,286
3749916,1166840,2,225
1869,1166838,2,180
3343765,1166838,2,180
3343765,1166839,2,180
1869,1166839,2,180
1166840,4473192,2,221
1166840,4473191,2,220
1166840,4473190,2,220
1166840,4016359,2,237
3687087,1166835,2,282
3687087,1166834,2,282
1166832,4035989,2,198
1166832,4035988,2,201
1166825,3765303,2,270
4472692,1166840,2,221
4472692,1166841,2,221
4037785,1166834,2,243
4037361,1166841,2,209
4037785,1166835,2,243
4037361,1166840,2,209
3765193,1166832,2,215
4723762,1166828,2,422
1166825,3765302,2,205
1166840,4036747,2,225
4037529,1166828,2,385
4037529,1166829,2,385
4723762,1166829,2,422
1166827,3887747,2,279
3765193,1166833,2,215
3716945,1166840,2,225
1166840,4036748,2,250
4016485,1166835,2,218
1166840,4036749,2,209
1166837,3764804,2,269
3716945,1166841,2,225
4016485,1166834,2,218
1166837,3764805,2,201
1166835,3764661,2,199
5231611,1166832,2,225
1166835,3764660,2,252
5231611,1166833,2,225
1166834,3764845,2,248
1166832,3764979,2,198
2468,1166840,2,180
2468,1166841,2,180
3765256,1166833,2,248
4037536,1166832,2,229
3893455,1166825,2,243
1166841,3893336,2,250
1166841,3893335,2,250
3764511,1166834,2,282
3764511,1166835,2,282
3893455,1166824,2,243
4471844,1166833,2,215
4471844,1166832,2,215
4037536,1166833,2,229
1166840,3893335,2,250
3764574,1166834,2,282
1166840,3893336,2,250
1166832,4025389,2,198
1166832,4025388,2,207
3764574,1166835,2,282
4016429,1166835,2,218
1166832,4025390,2,198
1166832,4025391,2,286
2068,1166830,2,180
4016429,1166834,2,218
2068,1166831,2,180
4726739,1166835,2,243
4726739,1166834,2,243
3765256,1166832,2,248
3926345,1166826,2,279
3926345,1166827,2,279
1166841,3749689,2,202
1166841,3749688,2,234
5158082,1166840,2,253
5158082,1166841,2,253
1166832,3764980,2,225
1166835,4025465,2,278
4037541,1166829,2,351
1166835,4025464,2,242
4037541,1166828,2,351
3716873,1166841,2,225
3716873,1166840,2,225
4246791,1166829,2,405
1166841,3749690,2,228
1968,1166835,2,360
1166833,4044996,2,225
1968,1166834,2,360
4472774,1166841,2,250
1166841,3749691,2,221
4473116,1166841,2,227
4472774,1166840,2,250
4473116,1166840,2,227
3716875,1166838,2,279
4246791,1166828,2,405
3716875,1166839,2,279
1166835,4016268,2,254
4016487,1166835,2,254
1166835,4016267,2,218
4037786,1166835,2,198
4037786,1166834,2,198
3716894,1166833,2,248
3716894,1166832,2,248
3716964,1166831,2,196
3716964,1166830,2,196
1166834,4036649,2,254
1166834,4036648,2,216
1166833,3813086,2,225
1166833,3813085,2,198
1166833,3813084,2,204
1166833,3813083,2,198
3893479,1166827,2,217
1166833,3813082,2,286
4016487,1166834,2,254
3893479,1166826,2,217
3812920,1166834,2,218
3812920,1166835,2,218
4996975,1166832,2,190
4996975,1166833,2,190
1166835,3764617,2,216
1166831,4035986,2,208
1166835,3764616,2,199
1166831,4035985,2,216
1166835,3764615,2,252
1166831,4035984,2,196
1166835,4770182,2,199
1166835,4770181,2,243
4016486,1166834,2,243
1166824,3765303,2,270
1166824,3765302,2,205
1166831,4035987,2,216
4016486,1166835,2,243
1166835,4770183,2,256
3687241,1166834,2,242
