service_id,date,exception_type
11762151,20150420,1
11762151,20150427,1
11762151,20150504,1
11762151,20150511,1
11762151,20150515,1
11762151,20150518,1
11762151,20150526,1
11762151,20150601,1
11762151,20150608,1
11762151,20150615,1
11762151,20150629,1
11762151,20150907,1
11762151,20150914,1
11762151,20150921,1
11762151,20150928,1
11762151,20151005,1
11762151,20151012,1
11762152,20150418,1
11762152,20151003,1
11762152,20151010,1
11762153,20150417,1
11762153,20151002,1
11762153,20151006,1
11762153,20151007,1
11762153,20151008,1
11762153,20151009,1
11762153,20151013,1
11762153,20151014,1
11762153,20151015,1
1762148,20150714,1
1762149,20150501,1
1762149,20150508,1
1762149,20150524,1
1762156,20150703,1
1762156,20150710,1
1762156,20150717,1
1762156,20150724,1
1762156,20150731,1
1762155,20150515,1
1762155,20150713,1
1762155,20150807,1
1762155,20150814,1
1762155,20150821,1
1762155,20150828,1
1762158,20150424,1
1762158,20150430,1
1762158,20150507,1
1762158,20150513,1
1762158,20150522,1
1762158,20150529,1
1762158,20150605,1
1762158,20150612,1
1762158,20150619,1
1762158,20150626,1
1762158,20150904,1
1762158,20150911,1
1762158,20150918,1
1762158,20150925,1
1762157,20150420,1
1762157,20150421,1
1762157,20150422,1
1762157,20150423,1
1762157,20150427,1
1762157,20150428,1
1762157,20150429,1
1762157,20150504,1
1762157,20150505,1
1762157,20150506,1
1762157,20150511,1
1762157,20150512,1
1762157,20150518,1
1762157,20150519,1
1762157,20150520,1
1762157,20150521,1
1762157,20150526,1
1762157,20150527,1
1762157,20150528,1
1762157,20150601,1
1762157,20150602,1
1762157,20150603,1
1762157,20150604,1
1762157,20150608,1
1762157,20150609,1
1762157,20150610,1
1762157,20150611,1
1762157,20150615,1
1762157,20150616,1
1762157,20150617,1
1762157,20150618,1
1762157,20150622,1
1762157,20150623,1
1762157,20150624,1
1762157,20150625,1
1762157,20150629,1
1762157,20150630,1
1762157,20150901,1
1762157,20150902,1
1762157,20150903,1
1762157,20150907,1
1762157,20150908,1
1762157,20150909,1
1762157,20150910,1
1762157,20150914,1
1762157,20150915,1
1762157,20150916,1
1762157,20150917,1
1762157,20150921,1
1762157,20150922,1
1762157,20150923,1
1762157,20150924,1
1762157,20150928,1
1762157,20150929,1
1762157,20150930,1
1762152,20150417,1
1762152,20151002,1
1762152,20151009,1
1762151,20150419,1
1762151,20150426,1
1762151,20150503,1
1762151,20150510,1
1762151,20150514,1
1762151,20150517,1
1762151,20150525,1
1762151,20150531,1
1762151,20150607,1
1762151,20150614,1
1762151,20150628,1
1762151,20150906,1
1762151,20150913,1
1762151,20150920,1
1762151,20150927,1
1762151,20151004,1
1762151,20151011,1
1762154,20150803,1
1762154,20150804,1
1762154,20150805,1
1762154,20150806,1
1762154,20150810,1
1762154,20150811,1
1762154,20150812,1
1762154,20150813,1
1762154,20150817,1
1762154,20150818,1
1762154,20150819,1
1762154,20150820,1
1762154,20150824,1
1762154,20150825,1
1762154,20150826,1
1762154,20150827,1
1762153,20150416,1
1762153,20151001,1
1762153,20151005,1
1762153,20151006,1
1762153,20151007,1
1762153,20151008,1
1762153,20151012,1
1762153,20151013,1
1762153,20151014,1
11762155,20150516,1
11762155,20150714,1
11762155,20150808,1
11762155,20150815,1
11762155,20150822,1
11762155,20150829,1
11762154,20150804,1
11762154,20150805,1
11762154,20150806,1
11762154,20150807,1
11762154,20150811,1
11762154,20150812,1
11762154,20150813,1
11762154,20150814,1
11762154,20150818,1
